Isolate ID,Species Sort,Isolate Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,ICTV_ID,Exemplar or additional isolate,Virus name(s),Virus name abbreviation(s),Virus isolate designation,Virus GENBANK accession,Genome coverage,Genome,Host source,Accessions Link
VMR1028127,1,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Chiyouviridae,,Wargodvirus,,Wargodvirus xiongnu,ICTV202420188,E,Bathyarchaeia bifangarchaeales Chiyouvirus 1,BbCV1,,PP467602,Complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000002,2,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Alphalipothrixvirus,,Alphalipothrixvirus beppuense,ICTV201908643,E,Sulfolobus filamentous virus 1,SFV1,SFV1 isolate S48,MH447526,Complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000001,3,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Alphalipothrixvirus,,Alphalipothrixvirus umijigokuense,ICTV201908644,E,Sulfolobales Beppu filamentous virus 2,SBFV2,SBFV2 clone B,MK064563,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000003,4,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Betalipothrixvirus acidiani,ICTV20094000,E,Acidianus filamentous virus 3,AFV3,,AM087120,Complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000008,5,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Betalipothrixvirus hveragerdiense,ICTV20041365,E,Sulfolobus islandicus filamentous virus,SIFV,,AF440571,Complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000005,6,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Betalipothrixvirus pezzuloense,ICTV20094002,E,Acidianus filamentous virus 7,AFV7,,AM087122,Complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000004,7,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Betalipothrixvirus pozzuoliense,ICTV20094001,E,Acidianus filamentous virus 6,AFV6,,AM087121,Complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000006,8,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Betalipothrixvirus puteoliense,ICTV20094003,E,Acidianus filamentous virus 8,AFV8,,AM087123,Complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000007,9,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Betalipothrixvirus,,Betalipothrixvirus uzonense,ICTV20094004,E,Acidianus filamentous virus 9,AFV9,,EU545650,Complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000010,10,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Deltalipothrixvirus,,Deltalipothrixvirus beppuense,ICTV201908645,E,Sulfolobales Beppu filamentous virus 3,SBFV3,SBFV3 clone C,MK064564,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000009,11,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Lipothrixviridae,,Deltalipothrixvirus,,Deltalipothrixvirus pozzuoliense,ICTV20084110,E,Acidianus filamentous virus 2,AFV2,,AJ854042,Complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000011,12,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Azorudivirus,,Azorudivirus furnasense,ICTV202011720,E,Stygiolobus rod-shaped virus,SRV,,FM164764,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000013,13,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,Hoswirudivirus acidiani,ICTV202011717,E,Acidianus rod-shaped virus 3,ARV3,,MN876842,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
VMR1000014,14,1,Adnaviria,,Zilligvirae,,Taleaviricota,,Tokiviricetes,,Ligamenvirales,,Rudiviridae,,Hoswirudivirus,,Hoswirudivirus metallosphaerae,ICTV202011718,E,Metallosphaera rod-shaped virus 1,MRV1,,MN876843,Coding-complete genome,dsDNA,archaea,NCBI Nucleotide
