accession	original_accession	description	length	taxonomy	organism	source
JX976769.1	JX976769.1	Human coxsackievirus B1 isolate CVB1SD2011CHN, complete genome [Contaminant]	7368	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus;Enterovirus B	Coxsackievirus B1	Coxsackievirus B1
GQ404848.1	GQ404848.1	Cyclovirus PK6197, complete genome [Contaminant]	1741	Viruses;Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Cirlivirales;Circoviridae;Cyclovirus	Cyclovirus PK6197	Cyclovirus PK6197
NC_004102.1	NC_004102.1	Hepatitis C virus genotype 1, complete genome [Contaminant]	9646	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Hepacivirus;Hepacivirus hominis	Hepatitis C virus genotype 1	Hepatitis C virus genotype 1
GU133617.1	GU133617.1	Hepatitis C virus subtype 1b, complete genome [Contaminant]	9646	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Hepacivirus;Hepacivirus hominis	Hepatitis C virus subtype 1b	Hepatitis C virus subtype 1b
NC_001434.1	NC_001434.1	Hepatitis E virus, complete genome [Contaminant]	7176	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Hepelivirales;Hepeviridae	Hepatitis E virus	Hepatitis E virus
NC_001806.2	NC_001806.2	Human herpesvirus 1 strain 17, complete genome [Contaminant]	152222	Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Orthoherpesviridae;Alphaherpesvirinae;Simplexvirus;Simplexvirus humanalpha1	Human alphaherpesvirus 1	Human alphaherpesvirus 1 (Herpes simplex virus 1)
NC_007605.1	NC_007605.1	Human gammaherpesvirus 4, complete genome [Contaminant]	171823	Viruses;Herpesvirales;Herpesviridae;Gammaherpesvirinae;Lymphocryptovirus	Human gammaherpesvirus 4	Human gammaherpesvirus 4 (Epstein-Barr virus)
NC_006273.2	NC_006273.2	Human herpesvirus 5 strain Merlin, complete genome [Contaminant]	235646	Viruses;Duplodnaviria;Heunggongvirae;Peploviricota;Herviviricetes;Herpesvirales;Orthoherpesviridae;Betaherpesvirinae;Cytomegalovirus;Cytomegalovirus humanbeta5	Human betaherpesvirus 5	Human betaherpesvirus 5 (HHV-5; HCMV)
NC_001802.1	NC_001802.1	Human immunodeficiency virus 1, complete genome [Contaminant]	9181	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Lentivirus	Human immunodeficiency virus 1	Human immunodeficiency virus 1 (HIV-1)
NC_001405.1	NC_001405.1	Human adenovirus C, complete genome [Contaminant]	35937	Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus	Human mastadenovirus C	Human mastadenovirus C
